Timestamp;Spreading Ground Cumulative;Rain Barrels and Cisterns Cumulative;Incidental Capture Cumulative;Green Infrastructure Capture Cumulative;Green Streets and Alleys Capture;Total Water Capture This Season;Total Rainfall This Season
05/13/2018 12:20:00 PM;2,242;51.41;13,629.46;1,082.52;302.58;17,005.39;4.55
05/02/2018 09:06:00 AM;2,242;51.16;13,539.22;1,078.95;301.58;16,911.33;4.54
04/23/2018 08:16:00 AM;802;50.99;13,496.88;1,075.38;300.58;15,425.25;4.52
04/02/2018 01:20:00 PM;802;51.18;13,475.83;520.70;299.58;14,849.71;4.50
05/21/2018 10:20:00 AM;2,242;51.52;13,632.85;1,084.90;303.24;17,011.27;4.56
10/19/2018 03:19:29 PM;1;5.67;781.72;118.96;33.25;907.34;0.50
11/22/2018 03:28:01 PM;1;9.98;1,389.65;209.37;58.52;1,610.00;0.88
11/29/2018 03:28:07 PM;24;18.87;3,486.70;396.13;110.7225;3,925.71;1.66
11/30/2018 03:28:06 PM;24;22.16;3,893.80;465.13;130.0075;4,405.09;1.96
12/06/2018 03:29:07 PM;24;45.17;8,180.24;948.10;265.0025;9,197.51;3.98
01/14/2019 12:47:39 PM;24;66.88;12,778.82;1,403.71;392.35;14,273.41;5.90
01/14/2019 03:28:38 PM;24;70.17;13,558.41;1,472.70;411.635;15,125.28;6.19
01/15/2019 03:30:31 PM;24;72.04;14,189.13;1,511.96;422.6075;15,797.12;6.36
01/16/2019 03:28:16 PM;24;77.36;14,832.95;1,623.78;453.8625;16,558.09;6.82
01/17/2019 03:28:25 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/18/2019 03:28:09 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/19/2019 03:28:10 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/20/2019 03:28:06 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/21/2019 03:28:06 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/22/2019 03:28:08 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/23/2019 03:28:07 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/24/2019 03:28:11 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/25/2019 03:28:07 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/27/2019 03:28:06 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/28/2019 03:28:10 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/29/2019 03:28:07 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/30/2019 03:28:11 PM;24;96.07;18,665.76;2,016.34;563.5875;20,802.17;8.48
01/31/2019 03:28:19 PM;24;108.31;20,075.43;2,273.29;635.4075;22,481.03;9.56
02/01/2019 03:28:07 PM;24;108.31;20,075.43;2,273.29;635.4075;22,481.03;9.56
02/02/2019 03:28:28 PM;24;125.37;23,667.44;2,631.36;735.49;26,448.17;11.06
02/03/2019 03:28:18 PM;24;130.13;25,427.71;2,731.28;763.42;28,313.12;11.48
02/04/2019 03:28:39 PM;24;134.61;26,477.08;2,825.26;789.6875;29,460.95;11.88
02/05/2019 03:28:23 PM;24;138.69;27,631.63;2,910.91;813.6275;30,705.23;12.24
02/06/2019 03:28:15 PM;24;138.69;27,631.63;2,910.91;813.6275;30,705.23;12.24
02/07/2019 03:28:20 PM;24;138.69;27,631.63;2,910.91;813.6275;30,705.23;12.24
02/08/2019 03:28:10 PM;24;138.69;27,631.63;2,910.91;813.6275;30,705.23;12.24
02/09/2019 03:28:16 PM;24;141.35;28,009.42;2,966.82;829.255;31,141.59;12.47
02/10/2019 03:28:10 PM;24;142.71;28,278.98;2,995.37;837.235;31,441.06;12.59
02/14/2019 03:28:15 PM;24;166.57;32,032.15;3,496.19;977.2175;35,718.91;14.70
02/15/2019 03:28:25 PM;24;166.74;32,148.98;3,499.75;978.215;35,839.48;14.71
02/16/2019 03:28:08 PM;24;168.90;32,463.60;3,544.96;990.85;36,201.45;14.90
02/21/2019 03:28:19 PM;24;169.52;32,609.98;3,558.04;994.5075;36,361.55;14.96
02/28/2019 03:28:15 PM;24;169.75;32,936.05;3,562.80;995.8375;36,692.60;14.98
03/01/2019 03:28:09 PM;24;169.75;32,936.05;3,562.80;995.8375;36,692.60;14.98
03/02/2019 03:28:11 PM;24;178.93;34,482.85;3,755.51;1,049.7025;38,441.30;15.78
03/03/2019 03:28:10 PM;24;179.33;34,547.95;3,763.84;1,052.03;38,515.12;15.82
03/06/2019 03:28:24 PM;24;190.72;36,576.03;4,002.95;1,118.8625;40,793.69;16.82
03/07/2019 03:28:15 PM;24;193.33;37,047.89;4,057.67;1,134.1575;41,322.89;17.06
03/08/2019 03:28:16 PM;24;193.33;37,047.89;4,057.67;1,134.1575;41,322.89;17.06
03/09/2019 03:28:11 PM;24;193.33;37,047.89;4,057.67;1,134.1575;41,322.89;17.06
03/10/2019 04:28:10 PM;24;193.33;37,069.18;4,057.67;1,134.1575;41,344.17;17.06
03/11/2019 04:28:11 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/12/2019 04:28:15 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/13/2019 04:28:12 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/14/2019 04:28:14 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/16/2019 04:28:10 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/17/2019 04:28:10 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/18/2019 04:28:13 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/19/2019 04:28:19 PM;24;193.33;37,101.11;4,057.67;1,134.1575;41,376.10;17.06
03/20/2019 04:28:19 PM;24;193.44;37,434.42;4,060.05;1,134.8225;41,711.90;17.06
03/21/2019 04:28:15 PM;24;194.40;37,702.73;4,080.27;1,140.475;42,001.41;17.15
08/13/2019 02:06:23 PM;24;0.00;997,245.16;674,995.75;188,667.815;1,672,264.92;2,837.11
08/13/2019 02:07:40 PM;24;0.00;39,995.20;4,262.28;1,191.3475;44,281.48;17.92
09/28/2019 04:28:28 PM;24;0.00;40,019.88;4,264.66;1,192.0125;44,308.53;17.92
09/29/2019 04:28:30 PM;24;0.00;40,019.88;4,264.66;1,192.0125;44,308.53;17.92
09/30/2019 04:28:31 PM;24;0.00;40,019.88;4,264.66;1,192.0125;44,308.53;17.92
10/01/2019 04:28:19 PM;1;0.00;0.00;0.00;0;1.00;0.00
11/20/2019 03:28:29 PM;1;0.00;411.48;139.18;38.9025;551.67;0.58
11/27/2019 03:28:24 PM;1;0.00;1,474.57;212.94;59.5175;1,688.50;0.90
11/28/2019 03:28:23 PM;1;0.00;3,018.08;429.44;120.0325;3,448.52;1.80
11/29/2019 03:28:49 PM;1;0.00;3,399.94;477.02;133.3325;3,877.96;2.00
12/04/2019 03:28:27 PM;1;0.00;5,939.87;728.02;203.49;6,668.89;3.06
12/06/2019 03:28:24 PM;1;0.00;6,020.93;736.35;205.8175;6,758.28;3.10
12/08/2019 03:28:24 PM;1;0.00;6,612.70;774.42;216.4575;7,388.12;3.26
